06-25 23:46:53 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:54 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 2, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=580x900 at 0x7FC6EE2F5040>, 'info': ('aadb', '025_Aveiro.jpg')}
06-25 23:46:54 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:47:14 Node 0       INFO     0: {'method': 'BACKUP_ACK', 'id': 2, 'info': ('65d3', '004c_b.jpg')}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {2: {('65d3', '004c_b.jpg')}}
06-25 23:47:14 Node 0       INFO     0: {'method': 'BACKUP_ACK', 'id': 2, 'info': ('22cc', '004x_Rua_da_Costeira_1920.jpg')}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {2: {('65d3', '004c_b.jpg'), ('22cc', '004x_Rua_da_Costeira_1920.jpg')}}
06-25 23:47:14 Node 0       INFO     0: {'method': 'BACKUP_ACK', 'id': 2, 'info': ('3b00', '004m_Escola_Industrial_inaug_1903_apos_acrescento_de_piso_ao_antigo_moinho.jpg')}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {2: {('65d3', '004c_b.jpg'), ('3b00', '004m_Escola_Industrial_inaug_1903_apos_acrescento_de_piso_ao_antigo_moinho.jpg'), ('22cc', '004x_Rua_da_Costeira_1920.jpg')}}
06-25 23:47:14 Node 0       INFO     0: {'method': 'BACKUP_ACK', 'id': 2, 'info': ('4622', '004d_talvez_1896_fotografo_Tercio_Guimaraes_.jpg')}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {2: {('4622', '004d_talvez_1896_fotografo_Tercio_Guimaraes_.jpg'), ('65d3', '004c_b.jpg'), ('3b00', '004m_Escola_Industrial_inaug_1903_apos_acrescento_de_piso_ao_antigo_moinho.jpg'), ('22cc', '004x_Rua_da_Costeira_1920.jpg')}}
06-25 23:47:14 Node 0       INFO     0: {'method': 'BACKUP_ACK', 'id': 2, 'info': ('8bdc', '004s_Lugar_onde_mais_tarde_se_vai_instal_a_Praca_do_Peixe.jpg')}
06-25 23:47:14 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {2: {('65d3', '004c_b.jpg'), ('8bdc', '004s_Lugar_onde_mais_tarde_se_vai_instal_a_Praca_do_Peixe.jpg'), ('22cc', '004x_Rua_da_Costeira_1920.jpg'), ('4622', '004d_talvez_1896_fotografo_Tercio_Guimaraes_.jpg'), ('3b00', '004m_Escola_Industrial_inaug_1903_apos_acrescento_de_piso_ao_antigo_moinho.jpg')}}
